,methodName,className,classLink,packageName,packageLink
0,equals,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
1,getCurrentOrientationBannerAdSizeWithWidth,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
2,getHeight,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
3,getHeightInPixels,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
4,getLandscapeBannerAdSizeWithWidth,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
5,getPortraitBannerAdSizeWithWidth,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
6,getWidth,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
7,getWidthInPixels,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
8,hashCode,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
9,isAutoHeight,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
10,isFluid,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
11,isFullWidth,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
12,toString,AdSize,https://developers.google.com/android/reference/com/google/android/gms/ads/AdSize.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
0,destroy,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
1,getAdListener,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
2,getAdSize,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
3,getAdUnitId,AdView,https://developers.google.com/android/reference/com/google/android/gms/ads/AdView.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
