,className,classLink,classPath,android_added_version,library,package
1897,IntentFilter.MalformedMimeTypeException,https://developer.android.com/reference/android/content/IntentFilter.MalformedMimeTypeException.html,android.content.IntentFilter.MalformedMimeTypeException,1,platform,android.content
1898,IntentReceiverLeakedViolation,https://developer.android.com/reference/android/os/strictmode/IntentReceiverLeakedViolation.html,android.os.strictmode.IntentReceiverLeakedViolation,28,platform,android.os.strictmode
1899,IntentSender,https://developer.android.com/reference/android/content/IntentSender.html,android.content.IntentSender,4,platform,android.content
1900,IntentSender.OnFinished,https://developer.android.com/reference/android/content/IntentSender.OnFinished.html,android.content.IntentSender.OnFinished,4,platform,android.content
1901,IntentSender.SendIntentException,https://developer.android.com/reference/android/content/IntentSender.SendIntentException.html,android.content.IntentSender.SendIntentException,4,platform,android.content
1902,IntentService,https://developer.android.com/reference/android/app/IntentService.html,android.app.IntentService,3,platform,android.app
1903,InterfaceAddress,https://developer.android.com/reference/java/net/InterfaceAddress.html,java.net.InterfaceAddress,9,platform,java.net
1904,InternalError,https://developer.android.com/reference/java/lang/InternalError.html,java.lang.InternalError,1,platform,java.lang
1905,Interpolator,https://developer.android.com/reference/android/graphics/Interpolator.html,android.graphics.Interpolator,1,platform,android.graphics
1906,Interpolator,https://developer.android.com/reference/android/view/animation/Interpolator.html,android.view.animation.Interpolator,1,platform,android.view.animation
1907,Interpolator.Result,https://developer.android.com/reference/android/graphics/Interpolator.Result.html,android.graphics.Interpolator.Result,1,platform,android.graphics
1908,InterruptedByTimeoutException,https://developer.android.com/reference/java/nio/channels/InterruptedByTimeoutException.html,java.nio.channels.InterruptedByTimeoutException,26,platform,java.nio.channels
1909,InterruptedException,https://developer.android.com/reference/java/lang/InterruptedException.html,java.lang.InterruptedException,1,platform,java.lang
1910,InterruptedIOException,https://developer.android.com/reference/java/io/InterruptedIOException.html,java.io.InterruptedIOException,1,platform,java.io
1911,InterruptibleChannel,https://developer.android.com/reference/java/nio/channels/InterruptibleChannel.html,java.nio.channels.InterruptibleChannel,1,platform,java.nio.channels
1912,IntEvaluator,https://developer.android.com/reference/android/animation/IntEvaluator.html,android.animation.IntEvaluator,11,platform,android.animation
1913,IntFlagMapping,https://developer.android.com/reference/android/view/inspector/IntFlagMapping.html,android.view.inspector.IntFlagMapping,29,platform,android.view.inspector
1914,IntFunction,https://developer.android.com/reference/java/util/function/IntFunction.html,java.util.function.IntFunction,24,platform,java.util.function
1915,IntPredicate,https://developer.android.com/reference/java/util/function/IntPredicate.html,java.util.function.IntPredicate,24,platform,java.util.function
1916,IntProperty,https://developer.android.com/reference/android/util/IntProperty.html,android.util.IntProperty,24,platform,android.util
1917,IntStream,https://developer.android.com/reference/java/util/stream/IntStream.html,java.util.stream.IntStream,24,platform,java.util.stream
1918,IntStream.Builder,https://developer.android.com/reference/java/util/stream/IntStream.Builder.html,java.util.stream.IntStream.Builder,24,platform,java.util.stream
1919,IntSummaryStatistics,https://developer.android.com/reference/java/util/IntSummaryStatistics.html,java.util.IntSummaryStatistics,24,platform,java.util
1920,IntSupplier,https://developer.android.com/reference/java/util/function/IntSupplier.html,java.util.function.IntSupplier,24,platform,java.util.function
1921,IntToDoubleFunction,https://developer.android.com/reference/java/util/function/IntToDoubleFunction.html,java.util.function.IntToDoubleFunction,24,platform,java.util.function
1922,IntToLongFunction,https://developer.android.com/reference/java/util/function/IntToLongFunction.html,java.util.function.IntToLongFunction,24,platform,java.util.function
1923,IntUnaryOperator,https://developer.android.com/reference/java/util/function/IntUnaryOperator.html,java.util.function.IntUnaryOperator,24,platform,java.util.function
1924,InvalidAlgorithmParameterException,https://developer.android.com/reference/java/security/InvalidAlgorithmParameterException.html,java.security.InvalidAlgorithmParameterException,1,platform,java.security
1925,InvalidClassException,https://developer.android.com/reference/java/io/InvalidClassException.html,java.io.InvalidClassException,1,platform,java.io
1926,InvalidKeyException,https://developer.android.com/reference/java/security/InvalidKeyException.html,java.security.InvalidKeyException,1,platform,java.security
1927,InvalidKeySpecException,https://developer.android.com/reference/java/security/spec/InvalidKeySpecException.html,java.security.spec.InvalidKeySpecException,1,platform,java.security.spec
1928,InvalidMarkException,https://developer.android.com/reference/java/nio/InvalidMarkException.html,java.nio.InvalidMarkException,1,platform,java.nio
1929,InvalidObjectException,https://developer.android.com/reference/java/io/InvalidObjectException.html,java.io.InvalidObjectException,1,platform,java.io
1930,InvalidParameterException,https://developer.android.com/reference/java/security/InvalidParameterException.html,java.security.InvalidParameterException,1,platform,java.security
1931,InvalidParameterSpecException,https://developer.android.com/reference/java/security/spec/InvalidParameterSpecException.html,java.security.spec.InvalidParameterSpecException,1,platform,java.security.spec
1932,InvalidPathException,https://developer.android.com/reference/java/nio/file/InvalidPathException.html,java.nio.file.InvalidPathException,26,platform,java.nio.file
1933,InvalidPreferencesFormatException,https://developer.android.com/reference/java/util/prefs/InvalidPreferencesFormatException.html,java.util.prefs.InvalidPreferencesFormatException,1,platform,java.util.prefs
1934,InvalidPropertiesFormatException,https://developer.android.com/reference/java/util/InvalidPropertiesFormatException.html,java.util.InvalidPropertiesFormatException,1,platform,java.util
1935,InvocationHandler,https://developer.android.com/reference/java/lang/reflect/InvocationHandler.html,java.lang.reflect.InvocationHandler,1,platform,java.lang.reflect
1936,InvocationTargetException,https://developer.android.com/reference/java/lang/reflect/InvocationTargetException.html,java.lang.reflect.InvocationTargetException,1,platform,java.lang.reflect
1937,IOError,https://developer.android.com/reference/java/io/IOError.html,java.io.IOError,9,platform,java.io
1938,IOException,https://developer.android.com/reference/java/io/IOException.html,java.io.IOException,1,platform,java.io
1939,IpPrefix,https://developer.android.com/reference/android/net/IpPrefix.html,android.net.IpPrefix,21,platform,android.net
1940,IpSecAlgorithm,https://developer.android.com/reference/android/net/IpSecAlgorithm.html,android.net.IpSecAlgorithm,28,platform,android.net
1941,IpSecManager,https://developer.android.com/reference/android/net/IpSecManager.html,android.net.IpSecManager,28,platform,android.net
1942,IpSecManager.ResourceUnavailableException,https://developer.android.com/reference/android/net/IpSecManager.ResourceUnavailableException.html,android.net.IpSecManager.ResourceUnavailableException,28,platform,android.net
1943,IpSecManager.SecurityParameterIndex,https://developer.android.com/reference/android/net/IpSecManager.SecurityParameterIndex.html,android.net.IpSecManager.SecurityParameterIndex,28,platform,android.net
1944,IpSecManager.SpiUnavailableException,https://developer.android.com/reference/android/net/IpSecManager.SpiUnavailableException.html,android.net.IpSecManager.SpiUnavailableException,28,platform,android.net
1945,IpSecManager.UdpEncapsulationSocket,https://developer.android.com/reference/android/net/IpSecManager.UdpEncapsulationSocket.html,android.net.IpSecManager.UdpEncapsulationSocket,28,platform,android.net
